escenario,sede,sede_nombre,timestamp,hora,hora_sin,hora_cos,dia_semana,es_fin_semana,es_festivo,semana_parciales,semana_finales,periodo_semestre1,periodo_semestre2,periodo_vacaciones,temperatura_exterior,ocupacion_pct,co2_input,energia_total_kwh,energia_comedor_kwh,energia_salones_kwh,energia_laboratorios_kwh,energia_auditorios_kwh,energia_oficinas_kwh,potencia_total_kw,agua_litros,co2_kg
dia_normal,UPTC_TUN,Tunja,2025-03-10 00:00:00,0,0.0,1.0,0,0,0,0,0,1,0,0,8.1,0,0.2594,1.446,0.1591,0.3871,0.4568,0.1293,0.3137,1.918,250.43,0.2863
dia_normal,UPTC_SOG,Sogamoso,2025-03-10 00:00:00,0,0.0,1.0,0,0,0,0,0,1,0,0,8.2,3.1,0.7313,4.098,0.3728,0.8565,1.4536,0.3754,1.0397,5.913,30.27,0.8114
dia_normal,UPTC_DUI,Duitama,2025-03-10 00:00:00,0,0.0,1.0,0,0,0,0,0,1,0,0,10.4,6.2,0.842,4.166,0.3735,1.1844,0.9904,0.3657,1.252,6.058,33.49,0.8249
dia_normal,UPTC_CHI,Chiquinquira,2025-03-10 00:00:00,0,0.0,1.0,0,0,0,0,0,1,0,0,9.4,6.7,0.27,1.343,0.1227,0.5176,0.2728,0.1476,0.2823,1.959,13.28,0.2659
dia_normal,UPTC_TUN,Tunja,2025-03-10 01:00:00,1,0.258819,0.965926,0,0,0,0,0,1,0,0,9.2,0,0.2764,1.435,0.1613,0.3135,0.396,0.1011,0.4631,1.996,273.36,0.2841
dia_normal,UPTC_SOG,Sogamoso,2025-03-10 01:00:00,1,0.258819,0.965926,0,0,0,0,0,1,0,0,9.5,0,0.7441,3.851,0.4355,0.8044,1.392,0.3471,0.872,4.81,28.38,0.7625
dia_normal,UPTC_DUI,Duitama,2025-03-10 01:00:00,1,0.258819,0.965926,0,0,0,0,0,1,0,0,11.7,5.2,0.7907,4.188,0.442,1.1547,1.1337,0.3848,1.0728,5.422,31.42,0.8292
dia_normal,UPTC_CHI,Chiquinquira,2025-03-10 01:00:00,1,0.258819,0.965926,0,0,0,0,0,1,0,0,9.2,10.1,0.3,1.596,0.1206,0.6682,0.3092,0.1794,0.3186,2.042,13.81,0.316
dia_normal,UPTC_TUN,Tunja,2025-03-10 02:00:00,2,0.5,0.866025,0,0,0,0,0,1,0,0,10.1,0,0.2737,1.52,0.2042,0.3685,0.4176,0.1398,0.3899,1.865,301.14,0.301
dia_normal,UPTC_SOG,Sogamoso,2025-03-10 02:00:00,2,0.5,0.866025,0,0,0,0,0,1,0,0,10.2,5.0,1.0445,4.92,0.4805,0.8552,1.6608,0.5652,1.3583,7.337,31.56,0.9742
dia_normal,UPTC_DUI,Duitama,2025-03-10 02:00:00,2,0.5,0.866025,0,0,0,0,0,1,0,0,11.0,6.5,0.9585,4.438,0.4487,1.0319,1.1564,0.3921,1.4089,5.93,39.27,0.8787
dia_normal,UPTC_CHI,Chiquinquira,2025-03-10 02:00:00,2,0.5,0.866025,0,0,0,0,0,1,0,0,11.8,0,0.1843,1.0,0.0723,0.4495,0.2222,0.094,0.162,1.383,10.56,0.198
dia_normal,UPTC_TUN,Tunja,2025-03-10 03:00:00,3,0.707107,0.707107,0,0,0,0,0,1,0,0,12.0,3.6,0.3824,1.811,0.2193,0.3849,0.5146,0.124,0.5682,2.651,402.11,0.3586
dia_normal,UPTC_SOG,Sogamoso,2025-03-10 03:00:00,3,0.707107,0.707107,0,0,0,0,0,1,0,0,12.1,0,0.7775,4.242,0.4811,0.7429,1.4785,0.3694,1.1701,6.065,28.71,0.8399
